model,window,dataset,split,aggregation,subset,score,value,se,n_pairs,n_ties,p_value,q_value
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_minus_dot_lastpos_last,0.4587153157224353,0.07378408519658204,564,0,0.7033795440294218,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_minus_dot_lastpos_middle,0.4124416140253954,0.06555676601715692,564,0,0.888266556190416,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_minus_dot_mean_last,0.45937672391581597,0.08030512263443143,564,0,0.6857543802844039,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_minus_dot_mean_middle,0.4683262650260843,0.0743192927567025,564,0,0.6586138852198533,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_minus_dot_varpos_last,0.4106655112644647,0.06951150602024833,564,0,0.8801917529819556,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_minus_dot_varpos_middle,0.4392605597542034,0.07043369019744217,564,0,0.7914751753904989,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,llr,0.5546737503200476,0.07703795813585734,564,0,0.2504204895108274,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,logp_ref,0.5621564965224857,0.07228939110247516,564,1,0.20917716371473283,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,minus_entropy,0.6071469157909275,0.06126619751984317,564,0,0.06189803297858347,0.8561028788234372
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,minus_llr,0.4453262496799523,0.07703795813585734,564,0,0.7495795104891728,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,minus_logp_alt,0.4712141950509532,0.07588287041576817,564,0,0.6421614919025165,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,abs_llr,0.5141843971631206,0.021045324394271994,564,0,0.26383799807823544,0.5117547376517497
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_cosine_flat_last,0.5478723404255319,0.02095707530545421,564,0,0.012773851318421419,0.1642352312368468
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_cosine_flat_middle,0.5230496453900709,0.02103141494581464,564,0,0.14623779175103038,0.4012622334631931
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_cosine_lastpos_last,0.5310283687943262,0.02101321942625554,564,1,0.07590714372919109,0.2962932507323183
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_cosine_lastpos_middle,0.5354609929078015,0.021000781730721497,564,0,0.0502320116839889,0.2568682415658523
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_cosine_mean_last,0.5398936170212766,0.02098667676486459,564,1,0.0317945957659237,0.20754527420336782
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_cosine_mean_middle,0.5283687943262412,0.02101988300152991,564,0,0.09586626303265942,0.3243595365766673
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_cosine_varpos_last,0.5283687943262412,0.02101988300152991,564,0,0.09586626303265942,0.3243595365766673
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_cosine_varpos_middle,0.5460992907801419,0.02096412231526969,564,0,0.01583162163314066,0.1656797612770534
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_l2_flat_last,0.5460992907801419,0.02096412231526969,564,0,0.01583162163314066,0.1656797612770534
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_l2_flat_middle,0.5195035460992907,0.021037774691933766,564,0,0.18828584403395787,0.4322889276289849
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_l2_lastpos_last,0.5336879432624113,0.02100595670663209,564,0,0.05957992947791128,0.27358130882714365
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_l2_lastpos_middle,0.5212765957446809,0.02103472755352247,564,0,0.16640597258054093,0.4183390372136504
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_l2_mean_last,0.5390070921985816,0.020989631295278206,564,0,0.035052090754346565,0.20754527420336782
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_l2_mean_middle,0.4875886524822695,0.021047310707947204,564,0,0.7361620019217645,0.8437754959820609
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_l2_varpos_last,0.526595744680851,0.02102399281051484,564,0,0.11100352714336041,0.3330105814300813
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_l2_varpos_middle,0.5283687943262412,0.02101988300152991,564,0,0.09586626303265942,0.3243595365766673
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_minus_dot_flat_last,0.46808510638297873,0.02101086512093605,564,0,0.9404200705220888,0.9552799813429795
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_minus_dot_flat_middle,0.524822695035461,0.021027836743348634,564,0,0.1277787787884277,0.36859263112046453
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_minus_dot_lastpos_last,0.49113475177304966,0.021050488419978187,564,0,0.678364271792036,0.8162136960064604
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_minus_dot_lastpos_middle,0.5053191489361702,0.021052606628194054,564,0,0.4166355370197743,0.6087207521392806
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_minus_dot_mean_last,0.4804964539007092,0.021037774691933766,564,0,0.8335940274194591,0.8952680485411852
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_minus_dot_mean_middle,0.5319148936170213,0.02101086512093605,564,0,0.07023797211416344,0.2953933406670425
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_minus_dot_varpos_last,0.49113475177304966,0.021050488419978187,564,0,0.678364271792036,0.8162136960064604
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,embed_minus_dot_varpos_middle,0.5620567375886525,0.020891010712296803,564,0,0.0018150482803882492,0.16335434523494244
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,llr,0.4929078014184397,0.021051679938324953,564,0,0.6476264635804295,0.8028427234468135
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,logp_ref,0.5044326241134752,0.02105297067376828,564,1,0.4330731058044446,0.6286545084258066
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,minus_entropy,0.5336879432624113,0.02100595670663209,564,0,0.05957992947791128,0.27358130882714365
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,minus_llr,0.5070921985815603,0.021051679938324953,564,0,0.38410645353011375,0.5919448770155863
exp136-proj_v30,128,complex_traits,train,global_pooled,__global_pooled__,minus_logp_alt,0.526595744680851,0.02102399281051484,564,0,0.11100352714336041,0.3330105814300813
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,abs_llr,0.42857142857142855,0.10798984943120778,21,0,0.808344841003418,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_cosine_flat_last,0.42857142857142855,0.10798984943120778,21,0,0.808344841003418,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_cosine_flat_middle,0.2857142857142857,0.0985807941917649,21,0,0.9866981506347656,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_cosine_lastpos_last,0.3333333333333333,0.10286889997472795,21,0,0.9608230590820312,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_cosine_lastpos_middle,0.2857142857142857,0.0985807941917649,21,0,0.9866981506347656,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_cosine_mean_last,0.6190476190476191,0.10597116957413082,21,0,0.19165515899658203,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_cosine_mean_middle,0.3333333333333333,0.10286889997472795,21,0,0.9608230590820312,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_cosine_varpos_last,0.47619047619047616,0.10898516862311035,21,0,0.6681880950927734,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_cosine_varpos_middle,0.5238095238095238,0.10898516862311035,21,0,0.5,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_l2_flat_last,0.42857142857142855,0.10798984943120778,21,0,0.808344841003418,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_l2_flat_middle,0.3333333333333333,0.10286889997472795,21,0,0.9608230590820312,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_l2_lastpos_last,0.3333333333333333,0.10286889997472795,21,0,0.9608230590820312,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_l2_lastpos_middle,0.23809523809523808,0.09294286409033649,21,0,0.996401309967041,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_l2_mean_last,0.6190476190476191,0.10597116957413082,21,0,0.19165515899658203,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_l2_mean_middle,0.3333333333333333,0.10286889997472795,21,0,0.9608230590820312,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_l2_varpos_last,0.47619047619047616,0.10898516862311035,21,0,0.6681880950927734,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_l2_varpos_middle,0.42857142857142855,0.10798984943120778,21,0,0.808344841003418,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_minus_dot_flat_last,0.6190476190476191,0.10597116957413082,21,0,0.19165515899658203,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_minus_dot_flat_middle,0.2857142857142857,0.0985807941917649,21,0,0.9866981506347656,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_minus_dot_lastpos_last,0.5714285714285714,0.10798984943120778,21,0,0.33181190490722656,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_minus_dot_lastpos_middle,0.47619047619047616,0.10898516862311035,21,0,0.6681880950927734,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_minus_dot_mean_last,0.5238095238095238,0.10898516862311035,21,0,0.5,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_minus_dot_mean_middle,0.38095238095238093,0.10597116957413082,21,0,0.9053764343261719,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_minus_dot_varpos_last,0.42857142857142855,0.10798984943120778,21,0,0.808344841003418,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,embed_minus_dot_varpos_middle,0.47619047619047616,0.10898516862311035,21,0,0.6681880950927734,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,llr,0.7619047619047619,0.0929428640903365,21,0,0.013301849365234375,0.5473315781422917
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,logp_ref,0.38095238095238093,0.10597116957413082,21,0,0.9053764343261719,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,minus_entropy,0.42857142857142855,0.10798984943120778,21,0,0.808344841003418,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,minus_llr,0.23809523809523808,0.09294286409033649,21,0,0.996401309967041,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,3_prime_UTR_variant,minus_logp_alt,0.42857142857142855,0.10798984943120778,21,0,0.808344841003418,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,abs_llr,0.7,0.14491376746189438,10,0,0.171875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_cosine_flat_last,0.7,0.14491376746189438,10,0,0.171875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_cosine_flat_middle,0.7,0.14491376746189438,10,0,0.171875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_cosine_lastpos_last,0.5,0.15811388300841897,10,0,0.623046875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_cosine_lastpos_middle,0.5,0.15811388300841897,10,0,0.623046875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_cosine_mean_last,0.7,0.14491376746189438,10,0,0.171875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_cosine_mean_middle,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_cosine_varpos_last,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_cosine_varpos_middle,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_l2_flat_last,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_l2_flat_middle,0.7,0.14491376746189438,10,0,0.171875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_l2_lastpos_last,0.5,0.15811388300841897,10,0,0.623046875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_l2_lastpos_middle,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_l2_mean_last,0.7,0.14491376746189438,10,0,0.171875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_l2_mean_middle,0.3,0.14491376746189438,10,0,0.9453125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_l2_varpos_last,0.5,0.15811388300841897,10,0,0.623046875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_l2_varpos_middle,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_minus_dot_flat_last,0.3,0.14491376746189438,10,0,0.9453125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_minus_dot_flat_middle,0.5,0.15811388300841897,10,0,0.623046875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_minus_dot_lastpos_last,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_minus_dot_lastpos_middle,0.4,0.15491933384829668,10,0,0.828125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_minus_dot_mean_last,0.4,0.15491933384829668,10,0,0.828125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_minus_dot_mean_middle,0.5,0.15811388300841897,10,0,0.623046875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_minus_dot_varpos_last,0.7,0.14491376746189438,10,0,0.171875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,embed_minus_dot_varpos_middle,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,llr,0.5,0.15811388300841897,10,0,0.623046875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,logp_ref,0.4,0.15491933384829668,10,0,0.828125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,minus_entropy,0.6,0.15491933384829668,10,0,0.376953125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,minus_llr,0.5,0.15811388300841897,10,0,0.623046875,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,5_prime_UTR_variant,minus_logp_alt,0.4,0.15491933384829668,10,0,0.828125,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,abs_llr,0.5046728971962616,0.024167356721731165,428,0,0.4423622501440313,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_cosine_flat_last,0.5514018691588785,0.02404035974852962,428,0,0.0187705139756792,0.55546875
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_cosine_flat_middle,0.5350467289719626,0.024108968296243326,428,0,0.08045300195412255,0.8543681623446644
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_cosine_lastpos_last,0.5292056074766355,0.024127147257688948,428,1,0.12271526354647173,0.9900938958254974
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_cosine_lastpos_middle,0.5467289719626168,0.02406263260331551,428,0,0.029642394793646113,0.6239006886214987
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_cosine_mean_last,0.5327102803738317,0.02411663818372561,428,0,0.09590003740612346,0.8784736250942607
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_cosine_mean_middle,0.5280373831775701,0.024130384980553168,428,0,0.13311262377209465,0.9900938958254974
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_cosine_varpos_last,0.544392523364486,0.024072966566687885,428,0,0.036788945820841155,0.6791805382309136
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_cosine_varpos_middle,0.5514018691588785,0.02404035974852962,428,0,0.0187705139756792,0.55546875
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_l2_flat_last,0.5514018691588785,0.02404035974852962,428,0,0.0187705139756792,0.55546875
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_l2_flat_middle,0.5373831775700935,0.024100766751809926,428,0,0.06696214129735309,0.8108698867804167
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_l2_lastpos_last,0.5350467289719626,0.024108968296243326,428,0,0.08045300195412255,0.8543681623446644
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_l2_lastpos_middle,0.5373831775700935,0.024100766751809926,428,0,0.06696214129735309,0.8108698867804167
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_l2_mean_last,0.5327102803738317,0.02411663818372561,428,0,0.09590003740612346,0.8784736250942607
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_l2_mean_middle,0.4953271028037383,0.02416735672173117,428,0,0.5954703043449783,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_l2_varpos_last,0.544392523364486,0.024072966566687885,428,0,0.036788945820841155,0.6791805382309136
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_l2_varpos_middle,0.544392523364486,0.024072966566687885,428,0,0.036788945820841155,0.6791805382309136
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_minus_dot_flat_last,0.4696261682242991,0.024123776921360085,428,0,0.9040999625938766,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_minus_dot_flat_middle,0.5467289719626168,0.02406263260331551,428,0,0.029642394793646113,0.6239006886214987
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_minus_dot_lastpos_last,0.4672897196261682,0.02411663818372561,428,0,0.9195469980458775,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_minus_dot_lastpos_middle,0.5163551401869159,0.024155479119047002,428,0,0.26490231990029545,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_minus_dot_mean_last,0.47897196261682246,0.024147029269296672,428,0,0.8207876924225584,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_minus_dot_mean_middle,0.5350467289719626,0.024108968296243326,428,0,0.08045300195412255,0.8543681623446644
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_minus_dot_varpos_last,0.5023364485981309,0.024168148354360618,428,0,0.48072765751316765,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,embed_minus_dot_varpos_middle,0.5747663551401869,0.023896681432836166,428,0,0.0011435841747498114,0.20581352790752452
exp136-proj_v30,128,complex_traits,train,per_subset,distal,llr,0.48598130841121495,0.024158911026305782,428,0,0.7350976800997046,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,logp_ref,0.5035046728971962,0.024167818510582948,428,1,0.4614553150263349,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,minus_entropy,0.5350467289719626,0.024108968296243326,428,0,0.08045300195412255,0.8543681623446644
exp136-proj_v30,128,complex_traits,train,per_subset,distal,minus_llr,0.514018691588785,0.024158911026305786,428,0,0.29749098267302687,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,distal,minus_logp_alt,0.530373831775701,0.02412377692136008,428,0,0.1134220477695879,0.9343692722437448
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,abs_llr,0.5614035087719298,0.06572532011099606,57,0,0.21352142825162762,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_cosine_flat_last,0.5614035087719298,0.06572532011099606,57,0,0.21352142825162762,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_cosine_flat_middle,0.49122807017543857,0.0662164252225103,57,0,0.6043167861104097,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_cosine_lastpos_last,0.5789473684210527,0.06539586781025217,57,0,0.14462187355451026,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_cosine_lastpos_middle,0.6140350877192983,0.06448119524174796,57,0,0.05558055955199673,0.7276000523170482
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_cosine_mean_last,0.5789473684210527,0.06539586781025217,57,0,0.14462187355451026,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_cosine_mean_middle,0.5789473684210527,0.06539586781025217,57,0,0.14462187355451026,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_cosine_varpos_last,0.42105263157894735,0.06539586781025217,57,0,0.9075747587917908,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_cosine_varpos_middle,0.5614035087719298,0.06572532011099606,57,0,0.21352142825162762,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_l2_flat_last,0.5614035087719298,0.06572532011099606,57,0,0.21352142825162762,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_l2_flat_middle,0.43859649122807015,0.06572532011099606,57,0,0.8553781264454897,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_l2_lastpos_last,0.5789473684210527,0.06539586781025217,57,0,0.14462187355451026,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_l2_lastpos_middle,0.5614035087719298,0.06572532011099606,57,0,0.21352142825162762,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_l2_mean_last,0.5614035087719298,0.06572532011099606,57,0,0.21352142825162762,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_l2_mean_middle,0.5263157894736842,0.06613482762500456,57,0,0.3956832138895903,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_l2_varpos_last,0.43859649122807015,0.06572532011099606,57,0,0.8553781264454897,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_l2_varpos_middle,0.45614035087719296,0.06597132965516611,57,0,0.7864785717483724,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_minus_dot_flat_last,0.45614035087719296,0.06597132965516611,57,0,0.7864785717483724,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_minus_dot_flat_middle,0.45614035087719296,0.06597132965516611,57,0,0.7864785717483724,1.0
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_minus_dot_lastpos_last,0.631578947368421,0.06389231354388253,57,0,0.03136834017791424,0.6239006886214987
exp136-proj_v30,128,complex_traits,train,per_subset,missense_variant,embed_minus_dot_lastpos_middle,0.43859649122807015,0.06572532011099606,57,0,0.8553781264454897,1.0
