model,window,dataset,split,aggregation,subset,score,value,se,n_pairs,n_ties,p_value,q_value
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,abs_llr,0.4952361517312456,0.07719782114964699,564,0,0.5237404579039494,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_cosine_flat_last,0.461924974375998,0.07702744106255298,564,0,0.6818879485502817,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_cosine_flat_middle,0.4228348425042625,0.07779048212857023,564,0,0.8228702675752485,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_cosine_lastpos_last,0.46179498405617647,0.07420962744520963,564,1,0.6887362646709524,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_cosine_lastpos_middle,0.3956086437492377,0.07098245071344415,564,0,0.9075756016176345,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_cosine_mean_last,0.50786114698606,0.07791334957915359,564,1,0.4612310509974837,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_cosine_mean_middle,0.4698386111912071,0.07535298468319881,564,0,0.6495534220128076,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_cosine_varpos_last,0.43264698262737084,0.06913860970809034,564,0,0.8187879111852232,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_cosine_varpos_middle,0.4527090466255875,0.07065271283343907,564,0,0.7376345974166603,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_l2_flat_last,0.449424974375998,0.07238237857371034,564,0,0.7463651385240486,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_l2_flat_middle,0.41818998733540264,0.07458893259659531,564,0,0.8454920810526282,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_l2_lastpos_last,0.45821477941550626,0.07340249423045969,564,0,0.7065139890709426,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_l2_lastpos_middle,0.5107884014741979,0.08331134601904286,564,0,0.4503042071670023,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_l2_mean_last,0.5078233369437128,0.07752857711185417,564,0,0.46122605489284285,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_l2_mean_middle,0.5006938672818042,0.07866785123968444,564,0,0.4966043433384578,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_l2_varpos_last,0.41192329841684455,0.06497276748010927,564,0,0.8913318086842281,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_l2_varpos_middle,0.5517702217596844,0.07045874211985438,564,0,0.2431830419237487,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_minus_dot_flat_last,0.42384889370542045,0.07355396667985745,564,0,0.8325198548312324,0.981297543871384
exp136-proj_v30,128,complex_traits,train,global_macro,__global_macro__,embed_minus_dot_flat_middle,0.4010154798048941,0.06772469979282886,564,0,0.9063762894051404,0.981297543871384
