dataset_id,tissue_label,sample_size
QTD000116,adipose_subcutaneous,581
QTD000121,adipose_visceral,469
QTD000126,adrenal_gland,233
QTD000131,artery_aorta,387
QTD000136,artery_coronary,213
QTD000141,artery_tibial,584
QTD000146,brain_amygdala,129
QTD000151,brain_anterior_cingulate_cortex,147
QTD000156,brain_caudate,194
QTD000161,brain_cerebellar_hemisphere,175
QTD000166,brain_cerebellum,209
QTD000171,brain_cortex,205
QTD000176,brain_frontal_cortex,175
QTD000181,brain_hippocampus,165
QTD000186,brain_hypothalamus,170
QTD000191,brain_nucleus_accumbens,202
QTD000196,brain_putamen,170
QTD000201,brain_spinal_cord,126
QTD000206,brain_substantia_nigra,114
QTD000211,breast,394
QTD000216,fibroblast,483
QTD000221,LCL,147
QTD000226,colon_sigmoid,318
QTD000231,colon_transverse,368
QTD000236,esophagus_gej,330
QTD000241,esophagus_mucosa,493
QTD000246,esophagus_muscularis,461
QTD000251,heart_atrial_appendage,372
QTD000256,heart_left_ventricle,382
QTD000261,kidney_cortex,73
QTD000266,liver,208
QTD000271,lung,510
QTD000276,minor_salivary_gland,144
QTD000281,muscle,702
QTD000286,nerve_tibial,532
QTD000291,ovary,167
QTD000296,pancreas,305
QTD000301,pituitary,237
QTD000306,prostate,218
QTD000311,skin_not_sun_exposed,517
QTD000316,skin_sun_exposed,602
QTD000321,small_intestine,174
QTD000326,spleen,227
QTD000331,stomach,324
QTD000336,testis,322
QTD000341,thyroid,574
QTD000346,uterus,129
QTD000351,vagina,141
QTD000356,blood,670
